id,track_name,artist,album,language,genre,youtube_id,thumbnail_url,energy,danceability,valence,tempo,acousticness,instrumentalness,speechiness,liveness,loudness,popularity,explicit,duration_ms,source,created_at
93866c51-132f-487e-b4eb-9f398a4f349c,Faded,Alan Walker,,en,,60ItHLz5WEA,https://i.ytimg.com/vi/60ItHLz5WEA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m9egPvvOWFjggeHBMx4ngcu0DdXg,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,213000,ytmusic_trending,2026-06-17 13:33:30.351271+00
37ee6a53-80a2-4b1c-be4c-ea8ffc8143d2,Sesi Potret (feat. Ari Lesmana),eńau,,en,,Nskf70DMR60,https://i.ytimg.com/vi/Nskf70DMR60/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k8-BjbiCT3IXFmFQzgbGjUBEbWJw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,306000,ytmusic_trending,2026-06-17 13:33:27.463198+00
cca0fd7b-9d30-4f2f-8996-02ec2f09f561,Nano,"Saint Levant, TUL8TE",,en,,OQac93ARgQE,https://i.ytimg.com/vi/OQac93ARgQE/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3m9YJL-cc9rjnFPdWmmzZs9tepsUw,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,261000,ytmusic_trending,2026-06-17 13:33:26.77309+00
c251b1f8-12c3-4686-9ec5-90a9253407eb,Sebebi Yar,BLOK3,,en,,69L-nKRY3ac,https://i.ytimg.com/vi/69L-nKRY3ac/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3ngjP4vcIWi45zOVb_HELdpNKO69A,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,199000,ytmusic_trending,2026-06-17 13:33:26.081448+00
d279fae7-ecf7-4df7-8b02-8b8746695123,Crow,i-dle,,en,,bUMLC9lCgHo,https://i.ytimg.com/vi/bUMLC9lCgHo/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mueCb8ACzvGc7YKyk8s0EdTNbfDQ,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,203000,ytmusic_trending,2026-06-17 13:33:21.964688+00
1b276e6c-205c-4b5c-80fc-01f70d20d176,Kasam Khake Kaho - Lyrical | Preity Zinta | Arjun Rampal | Mahima | Kumar Sanu | Alka Yagnik,SS 100M,,en,,S7TTsne4S6s,https://i.ytimg.com/vi/S7TTsne4S6s/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mOAV2riyPnQuXINssbngU1PpL8Ug,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,349000,ytmusic_trending,2026-06-17 13:33:21.091908+00
16e193ba-3209-4451-99b9-3cc5b637336e,مرتضى حرب | درب احبابي | استقبال محرم 1448هــ,مرتضى حرب - Murtaza Harb,,en,,0SSmUpVyKKU,https://i.ytimg.com/vi/0SSmUpVyKKU/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mURlNS_jKVEWmhc5TWnLu3SBzhbg,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,711000,ytmusic_trending,2026-06-17 13:33:19.457257+00
e68dd636-8021-4898-8083-693ebdbd2862,Aravindh - Music Video | Albuquerque Records | Anirudh Ravichander,Anirudh Ravichander,,en,,UDOIFBU543k,https://i.ytimg.com/vi/UDOIFBU543k/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kWAyBmlRyq2-AmOQ-bUVuVcNY41Q,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,281000,ytmusic_trending,2026-06-17 13:33:17.50439+00
00b0e93f-3b1f-4c4d-a152-1f8bf5f45e50,"Dhamaal 4: CHATNI (Song) | Ajay Devgn, Arshad,Ritiesh, Jaaved, Ravi Kishan | Neelkamal, Aditya,Mamta",T-Series,,en,,gZWLEm4JLQk,https://i.ytimg.com/vi/gZWLEm4JLQk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mVd-7sRm94NGhFur-e_Gq5_EezOQ,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,144000,ytmusic_trending,2026-06-17 13:33:13.246807+00
dd3952fc-43df-4e12-aef8-ea9fcb262b95,夜の踊り子 - Yoru No Odoriko,sakanaction,,en,,2I25AFSBm2g,https://i.ytimg.com/vi/2I25AFSBm2g/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nJsNcd1PnVWx4gPOoK-TNeaPTM5g,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.7,0.8,false,316000,ytmusic_trending,2026-06-16 07:44:20.034517+00
